,status,cpc,date,ts_clicks,tr_clicks,tr_conversions,impressions,lp_clicks,cost,tr_revenue,TR.NET,TR.ROI,LP.CTR,CTR,Status_Algo,Reason,Coeff_Performance,Bid_suggestion,EPC
1,RUNNING,0.268,11/13/2019,864,875,20,416483,135,279.3,500,220.7,0.79018976,0.154285714,0.002074514,RUNNING,GP1,1.689092383,Increase Bid 1,0.571428571
2,RUNNING,NA,11/13/2019,1118,0,0,820161,0,244.8,0,-244.8,-1,0,0.001363147,PAUSED,PB,1,No Sugg,0
3,RUNNING,3,11/12/2019,54,48,0,26211,0,180.64,0,-180.64,-1,0,0.002060204,PAUSED,PB,1,No Sugg,0
4,RUNNING,0.06,11/14/2019,47,42,1,33357,0,159.06,0,-159.06,-1,0,0.001409,RUNNING,NMT,1,Decrease Bid 3,0
5,RUNNING,NA,11/13/2019,424,0,0,1089842,0,147.21,0,-147.21,-1,0,0.000389047,PAUSED,PB,1,No Sugg,0
6,RUNNING,0.015,11/19/2019,6606,0,0,152755,0,128.45,0,-128.45,-1,0,0.04324572,PAUSED,PB,1,No Sugg,0
7,RUNNING,0.165,11/16/2019,803,818,19,256797,158,122.814,161.5,38.686,0.314996662,0.193154034,0.003126984,RUNNING,GP1,1.890561476,Increase Bid 1,0.197432763
8,PAUSED,0.627,11/18/2019,121,130,0,92190,11,118.39,0,-118.39,-1,0.084615385,0.001312507,PAUSED,NC,1.251200583,No Sugg,0
9,RUNNING,NA,11/12/2019,307,0,0,218668,0,99.78,0,-99.78,-1,0,0.001403955,PAUSED,PB,1,No Sugg,0
10,RUNNING,2.8,11/14/2019,27,31,0,21405,0,94.89,0,-94.89,-1,0,0.001261388,PAUSED,PB,1,No Sugg,0
11,RUNNING,NA,11/13/2019,256,0,0,153418,0,94.06,0,-94.06,-1,0,0.001668644,PAUSED,PB,1,No Sugg,0
12,RUNNING,0.37,11/10/2019,212,0,0,59562,0,85.24,0,-85.24,-1,0,0.003559316,PAUSED,PB,1,No Sugg,0
13,RUNNING,NA,11/12/2019,519,0,0,101434,0,79.5,0,-79.5,-1,0,0.005116628,PAUSED,PB,1,No Sugg,0
14,RUNNING,9,11/20/2019,82,0,0,27891,0,73.49,0,-73.49,-1,0,0.002940016,PAUSED,PB,1,No Sugg,0
15,RUNNING,NA,11/20/2019,823,0,0,194753,0,72.67,0,-72.67,-1,0,0.004225866,PAUSED,PB,1,No Sugg,0
16,RUNNING,6,11/13/2019,12,12,0,0,0,72,0,-72,-1,0,12,RUNNING,NED,1,No Sugg,0
17,RUNNING,NA,11/13/2019,192,0,0,84903,0,70.38,0,-70.38,-1,0,0.002261404,PAUSED,PB,1,No Sugg,0
18,RUNNING,2.4,11/19/2019,22,17,1,16302,0,66.25,0,-66.25,-1,0,0.001349528,RUNNING,NMT,1,Decrease Bid 3,0
19,RUNNING,0.225,11/13/2019,273,236,0,120189,3,60.8,0,-60.8,-1,0.012711864,0.002271423,PAUSED,NC,0.494716383,No Sugg,0
20,RUNNING,NA,11/13/2019,232,236,3,54623,0,55.68,94,38.32,0.688218391,0,0.004247295,RUNNING,GP1,1,No Sugg,0.398305085
21,RUNNING,NA,11/13/2019,339,0,0,74331,0,55.48,0,-55.48,-1,0,0.004560681,PAUSED,PB,1,No Sugg,0
22,RUNNING,0.14,11/14/2019,355,0,0,266149,0,51.94,0,-51.94,-1,0,0.001333839,PAUSED,PB,1,No Sugg,0
23,RUNNING,NA,11/13/2019,109,108,1,133891,12,51.13,25,-26.13,-0.511050264,0.111111111,0.000814095,RUNNING,NMT,1.432313108,Decrease Bid 3,0.231481481
24,RUNNING,NA,11/13/2019,202,194,1,21104,0,48.48,32,-16.48,-0.339933993,0,0.009571645,RUNNING,NMT,1,Decrease Bid 3,0.164948454
